	line	person	fief	title
0	19	邁	重安	侯
1	51		唱義謀主鎮軍將軍裕豫章郡	公
2	116		公次	子
3	116	公次子義真	桂陽縣	公
4	132		公第三	子
5	132	公第三子義隆	北彭城縣	公
6	143	十郡	宋	公
7	149	公	宋	公
8	192		始興縣	公
9	192		柴桑縣	公
10	192		荔浦縣	侯
11	192		醴陵縣	侯
12	192		縣	侯
13	192		晉臨川	王
14	192	晉帝	零陵	王
15	192	晉臨川王司馬寶	西豐縣	侯
16	194		長沙	王
17	194	司徒道規	臨川	王
18	229		仇池	公
19	229	仇池公楊盛	武都	王
20	246		河西	王
21	246		澆河	公
22	266		彭城縣	公
23	266		宜都	王
24	267		陽縣開國	侯
25	271		江夏	王
26	359		南譙	王
27	360		陽縣	侯
28	377	黃龍國主馮弘	燕	王
29	415		河南	王
30	463		武都	王
31	479		河西	王
32	538		隨郡	王
33	571		武昌	王
34	571		湘東	王
35	595		南譙	王
36	595	南譙王義宣	南郡	王
37	610	第十六皇弟休倩	東平	王
38	663		桂陽	王
39	706		襄陽	王
40	706	襄陽王子鸞	新安	王
41	715		西陽	王
42	715	西陽王子尚	豫章	王
43	722		歷陽	王
44	722	歷陽王子頊	臨海	王
45	806		淮陽	王
46	806		湘東	王
47	811		安陸	王
48	811	安陸王子綏	江夏	王
49	819		臨賀	王
50	819	臨賀王子產	南平	王
51	852		新安	王
52	852	新安王延年	始平	王
53	854		義陽	王
54	854	義陽王昶	晉熙	王
55	861		廬江	王
56	861		晉平	王
57	1004		蒼梧郡	王
58	1013		安成	王
59	1038		南陽	王
60	1038	南陽王翽	隨郡	王
61	1046	帝	汝陰	王
62	1762	魏武帝	魏	公
63	1766		烏程	侯
64	1791		北海	王
65	1814		四方諸	侯
66	1827		宗聖	侯
67	1827	宗聖侯孔震	奉聖亭	侯
68	1994		王	王
69	3414	高祖	宋	公
70	3514		琅邪	王
71	4543		送璽使關內	侯
72	4554		送璽使關內	侯
73	5555	晉主	平固	王
74	5820		前太	子
75	5820	前太子和	南陽	王
76	7444		陽	侯
77	8550		開國縣	侯
78	8550		裔臨賀縣	侯
79	8557		封陽縣	侯
80	8596		開國縣	侯
81	8613		建寧縣	侯
82	8644		西華縣五等	子
83	8651		南昌縣	侯
84	8654		德陽縣五等	侯
85	8664		華容縣五等	侯
86	8666		華容縣	公
87	8668		建安郡	公
88	8682		開國縣	侯
89	8695		南昌縣	公
90	8695		永脩縣	公
91	8695		建安縣	侯
92	8695		霄城縣	侯
93	8695		臨沮縣	伯
94	8695		漢壽縣	伯
95	8699		南平郡	公
96	8710		建城縣	公
97	8733		吳興縣五等	侯
98	8733		作唐縣	男
99	8735		永脩縣	公
100	8737		武陵郡	公
101	8749		武昌縣	公
102	8750		建平郡	公
103	8791		博陸縣五等	子
104	8795		漢壽縣	子
105	8801		龍陽縣	侯
106	8803		西平縣	男
107	8806		巴丘縣	侯
108	8807		宜陽縣	侯
109	8811		山陽縣五等	侯
110	8812		安南縣	男
111	8812		曲江縣	侯
112	8818		南城縣	男
113	8822		順陽縣	侯
114	8824		石陽縣	子
115	8825		泉陵縣	子
116	8828		西安縣五等	侯
117	8829		灄陽縣	男
118	8829		建安縣	侯
119	8847		閬中縣五等	侯
120	8847		霄城縣	侯
121	8856		安復縣	侯
122	8857		新淦縣	侯
123	8867		安復縣	侯
124	8868		新淦縣	侯
125	8879		臨沮	伯
126	8890		夷道縣	侯
127	8895		廣晉縣	子
128	8901		東興縣	侯
129	8911		鄱陽縣	侯
130	8912		陽豐縣	男
131	8912		陽豐	男
132	8913		平昌縣五等	子
133	8914		臨沅縣	男
134	8924		武岡縣	男
135	8938		西昌縣	侯
136	8953		府庫以待	王
137	8955		豐城縣	侯
138	8962		興平縣五等	侯
139	8977		靈州	公
140	8985		新夷縣五等	侯
141	8987		候官縣	侯
142	8991		都鄉	侯
143	8992		北至縣五等	男
144	8993		新寧縣	男
145	8998		安丘縣五等	侯
146	9001		永新縣	男
147	9001		四百戶	男
148	9005		關內	侯
149	9006		龍川縣五等	侯
150	9007		望蔡縣	男
151	9015		吳平縣五等	子
152	9018		陽山縣	男
153	9022		新康縣	男
154	9035		益陽縣	侯
155	9048		作唐縣	侯
156	9057		新興縣五等	侯
157	9058		新渝縣	男
158	9059		竟陵縣	公
159	9060		長沙	王
160	9077		桂陽縣	侯
161	9079		建陵縣	侯
162	9079		臨澧縣	侯
163	9079		東昌縣	侯
164	9083		當陽縣	侯
165	9087		新野縣	侯
166	9087		興安縣	侯
167	9089		營道縣	侯
168	9096		華容縣	公
169	9100		監利縣	侯
170	9101		南郡	公
171	9101		臨川	王
172	9103		南郡	公
173	9103		臨川	王
174	9119		鄉	侯
175	9119		營浦縣	侯
176	9131		新陽縣五等	男
177	9138		作唐縣五等	侯
178	9150		吉陽縣五等	侯
179	9159		晉寧縣五等	男
180	9173		南昌縣五等	子
181	9184		番禺縣	男
182	9203		孝昌縣	侯
183	9209		曲江縣五等	男
184	9234		南郡州陵縣五等	侯
185	9271		高陵亭	侯
186	9282		樂成縣五等	侯
187	9341		興宗始昌縣	伯
188	9341		樂安縣	伯
189	9362		宜都	王
190	9396		廣晉縣	子
191	9419		南郡	公
192	9447		都亭	侯
193	9461		蕭陽	侯
194	9461		蘭陵郡	公
195	9461		海陵	公
196	9472		桂陽縣	公
197	9475		廬陵	王
198	9485		廬陵	王
