	line	appoint-verb	general	jiangjun
0	28	領	軍	將軍
1	29	領	軍	將軍
2	38	命	輔國	將軍
3	53	進號	車騎	將軍
4	114	領	鎮西	將軍
5	123	進號	輔國	將軍
6	134	加	領平北	將軍
7	135	加	領征西	將軍
8	149	領	征西	將軍
9	154	拜	平西	將軍
10	162	領	征西	將軍
11	166	領	軍	將軍
12	194	加	鎮軍	將軍
13	194	領	軍檀道濟為護軍	將軍
14	199	進號	安北	將軍
15	199	進號	北平	將軍
16	199	進號	車騎大	將軍
17	199	進號	征西	將軍
18	199	進號	安西大	將軍
19	199	進號	征東大	將軍
20	199	進號	鎮東大	將軍
21	202	進號	鎮西	將軍
22	225	進號	衞	將軍
23	225	領	軍謝晦為領軍	將軍
24	228	領	軍	將軍
25	229	進號	安南	將軍
26	241	領	軍	將軍
27	266	行	冠軍	將軍
28	266	進號	鎮西	將軍
29	271	行	撫軍	將軍
30	271	進號	衞	將軍
31	271	進號	征北	將軍
32	271	進號	驃騎	將軍
33	271	進號	撫軍	將軍
34	277	進號	安北	將軍
35	279	除	司空王弘為車騎大	將軍
36	289	領	軍	將軍
37	311	領	軍	將軍
38	315	領	平北	將軍
39	328	領	軍殷景仁為領軍	將軍
40	351	加	號征西	將軍
41	353	領	軍	將軍
42	353	領	軍	將軍
43	359	進號	鎮軍	將軍
44	389	進號	鎮北大	將軍
45	412	進位	大	將軍
46	424	領	軍	將軍
47	429	領	軍	將軍
48	437	領	軍	將軍
49	438	領	軍	將軍
50	460	進號	征西大	將軍
51	472	領	軍	將軍
52	476	加	中軍	將軍
53	476	加	撫軍	將軍
54	512	領	軍沈演之為領軍	將軍
55	527	領	軍	將軍
56	527	領	軍	將軍
57	542	進號	平西	將軍
58	543	除	吏部尚書蕭思話為護軍	將軍
59	554	領	司徒江夏王義恭降為驃騎	將軍
60	560	進號	安東大	將軍
61	580	領	軍	將軍
62	580	領	軍	將軍
63	588	進號	撫軍	將軍
64	592	領	軍	將軍
65	595	除	雍州刺史柳元景為護軍	將軍
66	595	進號	驃騎大	將軍
67	595	進號	鎮西大	將軍
68	596	領	軍	將軍
69	596	領	軍	將軍
70	607	領	軍	將軍
71	607	加	撫軍	將軍
72	612	進號	撫軍大	將軍
73	614	領	軍	將軍
74	624	行	征西	將軍
75	647	領	軍	將軍
76	647	加	驃騎	將軍
77	647	進號	平南	將軍
78	677	加	撫軍	將軍
79	684	領	軍	將軍
80	684	領	軍	將軍
81	688	除	車騎大	將軍
82	692	進號	車騎	將軍
83	698	進號	鎮軍	將軍
84	723	領	護軍	將軍
85	725	領	軍	將軍
86	728	加	平南	將軍
87	735	領	軍	將軍
88	745	領	軍	將軍
89	745	領	軍	將軍
90	747	進號	車騎	將軍
91	749	進號	車騎大	將軍
92	760	領	軍	將軍
93	775	領	軍	將軍
94	776	領	軍	將軍
95	783	領	軍	將軍
96	783	領	軍	將軍
97	788	領	軍	將軍
98	788	領	軍	將軍
99	790	進號	鎮西大	將軍
100	806	遷	冠軍	將軍
101	806	領	游擊	將軍
102	806	領	游擊	將軍
103	806	遷	領軍	將軍
104	806	領	軍	將軍
105	811	進號	車騎	將軍
106	811	除	驃騎大	將軍
107	811	進號	驃騎大	將軍
108	819	加	領軍	將軍
109	819	進號	征南	將軍
110	819	進號	安東	將軍
111	819	進號	平西	將軍
112	819	除	中軍	將軍
113	823	領	軍	將軍
114	823	進號	安北	將軍
115	823	除	安東	將軍
116	823	領	軍	將軍
117	823	加	孝祖撫軍	將軍
118	825	進號	衞	將軍
119	828	除	尚書僕射王景文為中軍	將軍
120	828	進號	平西	將軍
121	831	進號	征北大	將軍
122	845	進號	征西	將軍
123	850	加	新除左光祿大夫王玄謨車騎	將軍
124	850	除	右衞	將軍
125	851	進號	衞	將軍
126	851	進號	安西	將軍
127	851	兼	冀州刺史崔道固進號平北	將軍
128	852	進號	征西大	將軍
129	865	進號	鎮南	將軍
130	875	行	湘州刺史巴陵王休若為征南	將軍
131	877	行	豫州刺史劉勔為平西	將軍
132	878	除	平西	將軍
133	891	進號	鎮軍	將軍
134	893	領	軍劉勔加平北	將軍
135	901	進號	征西大	將軍
136	907	除	車騎大	將軍
137	907	除	驃騎大	將軍
138	917	進號	安西	將軍
139	932	除	征西	將軍
140	932	除	太常建平王景素為鎮軍	將軍
141	935	除	平西	將軍
142	946	進號	鎮北	將軍
143	951	加	號衞	將軍
144	955	加	護軍	將軍
145	958	加	中領軍劉勔鎮軍	將軍
146	958	加	右衞	將軍
147	960	進號	平西	將軍
148	961	進號	征西大	將軍
149	961	進號	征北	將軍
150	961	進號	安西	將軍
151	961	進號	平南	將軍
152	964	除	衞	將軍
153	964	加	護軍	將軍
154	964	進號	車騎	將軍
155	977	加	護軍	將軍
156	978	進號	車騎大	將軍
157	989	加	鎮軍	將軍
158	993	進號	驃騎大	將軍
159	993	進號	鎮西	將軍
160	1013	拜	撫軍	將軍
161	1013	進號	車騎	將軍
162	1013	進號	驃騎大	將軍
163	1017	進號	車騎大	將軍
164	1017	加	中軍	將軍
165	1023	進號	鎮軍	將軍
166	1023	加	平西	將軍
167	1023	除	左衞	將軍
168	1023	除	撫軍	將軍
169	1024	進號	征西	將軍
170	1028	進號	平南	將軍
171	1028	進號	征西	將軍
172	1028	進號	鎮西	將軍
173	1029	進號	中軍	將軍
174	1029	除	鎮南	將軍
175	1031	除	鎮北	將軍
176	1035	領	軍	將軍
177	1042	領	軍	將軍
178	1042	進號	中軍大	將軍
179	1530	兼	太保領軍	將軍
180	1530	兼	太尉護軍	將軍
181	1601	領	軍	將軍
182	3506	拜	大	將軍
183	5429	加	領軍	將軍
184	5644	加	王濬龍驤	將軍
185	8309	領	軍	將軍
186	8330	領	軍	將軍
187	8613	加	寧朔	將軍
188	8647	加	建威	將軍
189	8654	追贈	征虜	將軍
190	8656	出為	寧遠	將軍
191	8656	轉	右衞	將軍
192	8656	除	輔國	將軍
193	8663	加	寧遠	將軍
194	8663	加	建威	將軍
195	8664	出為	寧遠	將軍
196	8666	進號	衞	將軍
197	8668	進號	車騎大	將軍
198	8687	加	冠軍	將軍
199	8692	除	鷹揚	將軍
200	8695	進號	鎮軍	將軍
201	8697	領	軍	將軍
202	8701	命	征虜	將軍
203	8711	領	護軍	將軍
204	8733	轉	寧朔	將軍
205	8733	加	冠軍	將軍
206	8734	加	征虜	將軍
207	8737	進號	征北	將軍
208	8750	轉	領軍	將軍
209	8750	進號	衞	將軍
210	8765	命	征虜	將軍
211	8770	行	冠軍	將軍
212	8792	加	振武	將軍
213	8795	除	游擊	將軍
214	8796	行	龍驤	將軍
215	8799	進號	征虜	將軍
216	8801	追贈	左	將軍
217	8803	除	康寧朔	將軍
218	8803	進號	龍驤	將軍
219	8803	追贈	輔國	將軍
220	8806	行	參高祖建武	將軍
